,Award,Winner,Name,Film,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Gross
799,Actor,1.0,George C. Scott,Patton,Patton,1970,U,172 min,"Biography, Drama, War",7.9,91.0,Franklin J. Schaffner,"61,700,000"
824,Actor,1.0,Gene Hackman,The French Connection,The French Connection,1971,A,104 min,"Action, Crime, Drama",7.7,94.0,William Friedkin,"15,630,710"
825,Actor in a Supporting Role,1.0,Ben Johnson,The Last Picture Show,The Last Picture Show,1971,R,118 min,"Drama, Romance",8.0,93.0,Peter Bogdanovich,"29,133,000"
827,Actress in a Supporting Role,1.0,Cloris Leachman,The Last Picture Show,The Last Picture Show,1971,R,118 min,"Drama, Romance",8.0,93.0,Peter Bogdanovich,"29,133,000"
845,Actor in a Supporting Role,1.0,Joel Grey,Cabaret,Cabaret,1972,A,124 min,"Drama, Music, Musical",7.8,80.0,Bob Fosse,"42,765,000"
846,Actress,1.0,Liza Minnelli,Cabaret,Cabaret,1972,A,124 min,"Drama, Music, Musical",7.8,80.0,Bob Fosse,"42,765,000"
867,Actress in a Supporting Role,1.0,Tatum O'Neal,Paper Moon,Paper Moon,1973,U,102 min,"Comedy, Crime, Drama",8.1,77.0,Peter Bogdanovich,"30,933,743"
926,Actor in a Leading Role,1.0,Peter Finch,Network,Network,1976,UA,121 min,Drama,8.1,83.0,Sidney Lumet,
927,Actor in a Supporting Role,1.0,Jason Robards,All the President's Men,All the President's Men,1976,U,138 min,"Biography, Drama, History",7.9,84.0,Alan J. Pakula,"70,600,000"
928,Actress in a Leading Role,1.0,Faye Dunaway,Network,Network,1976,UA,121 min,Drama,8.1,83.0,Sidney Lumet,
929,Actress in a Supporting Role,1.0,Beatrice Straight,Network,Network,1976,UA,121 min,Drama,8.1,83.0,Sidney Lumet,
949,Actress in a Leading Role,1.0,Diane Keaton,Annie Hall,Annie Hall,1977,A,93 min,"Comedy, Romance",8.0,92.0,Woody Allen,"39,200,000"
967,Special Achievement Award,1.0,"Benjamin Burtt, Jr.",Star Wars,Star Wars,1977,UA,121 min,"Action, Adventure, Fantasy",8.6,90.0,George Lucas,"322,740,140"
970,Actor in a Supporting Role,1.0,Christopher Walken,The Deer Hunter,The Deer Hunter,1978,A,183 min,"Drama, War",8.1,86.0,Michael Cimino,"48,979,328"
989,Actor in a Leading Role,1.0,Dustin Hoffman,Kramer vs. Kramer,Kramer vs. Kramer,1979,A,105 min,Drama,7.8,77.0,Robert Benton,"106,260,000"
991,Actress in a Supporting Role,1.0,Meryl Streep,Kramer vs. Kramer,Kramer vs. Kramer,1979,A,105 min,Drama,7.8,77.0,Robert Benton,"106,260,000"
1011,Actor in a Leading Role,1.0,Robert De Niro,Raging Bull,Raging Bull,1980,A,129 min,"Biography, Drama, Sport",8.2,89.0,Martin Scorsese,"23,383,987"
1012,Actor in a Supporting Role,1.0,Timothy Hutton,Ordinary People,Ordinary People,1980,U,124 min,Drama,7.7,86.0,Robert Redford,"54,800,000"
1030,Actor in a Leading Role,1.0,Henry Fonda,On Golden Pond,On Golden Pond,1981,UA,109 min,Drama,7.6,68.0,Mark Rydell,"119,285,432"
1032,Actress in a Leading Role,1.0,Katharine Hepburn,On Golden Pond,On Golden Pond,1981,UA,109 min,Drama,7.6,68.0,Mark Rydell,"119,285,432"
1052,Actor in a Leading Role,1.0,Ben Kingsley,Gandhi,Gandhi,1982,U,191 min,"Biography, Drama, History",8.0,79.0,Richard Attenborough,"52,767,889"
1096,Actor in a Leading Role,1.0,F. Murray Abraham,Amadeus,Amadeus,1984,R,160 min,"Biography, Drama, History",8.3,88.0,Milos Forman,"51,973,029"
1097,Actor in a Supporting Role,1.0,Haing S. Ngor,The Killing Fields,The Killing Fields,1984,UA,141 min,"Biography, Drama, History",7.8,76.0,Roland Joffé,"34,700,291"
1142,Actor in a Supporting Role,1.0,Michael Caine,Hannah and Her Sisters,Hannah and Her Sisters,1986,PG-13,107 min,"Comedy, Drama",7.9,90.0,Woody Allen,"40,084,041"
1144,Actress in a Supporting Role,1.0,Dianne Wiest,Hannah and Her Sisters,Hannah and Her Sisters,1986,PG-13,107 min,"Comedy, Drama",7.9,90.0,Woody Allen,"40,084,041"
1165,Actor in a Supporting Role,1.0,Sean Connery,The Untouchables,The Untouchables,1987,A,119 min,"Crime, Drama, Thriller",7.9,79.0,Brian De Palma,"76,270,454"
1204,Special Achievement Award,1.0,Richard Williams,Who Framed Roger Rabbit,Who Framed Roger Rabbit,1988,U,104 min,"Animation, Adventure, Comedy",7.7,83.0,Robert Zemeckis,"156,452,370"
1206,Actor in a Supporting Role,1.0,Denzel Washington,Glory,Glory,1989,R,122 min,"Biography, Drama, History",7.8,78.0,Edward Zwick,"26,830,000"
1227,Actress in a Leading Role,1.0,Kathy Bates,Misery,Misery,1990,R,107 min,"Drama, Thriller",7.8,75.0,Rob Reiner,"61,276,872"
1246,Actor in a Leading Role,1.0,Anthony Hopkins,The Silence of the Lambs,The Silence of the Lambs,1991,A,118 min,"Crime, Drama, Thriller",8.6,85.0,Jonathan Demme,"130,742,922"
1264,Actor in a Leading Role,1.0,Al Pacino,Scent of a Woman,Scent of a Woman,1992,UA,156 min,Drama,8.0,59.0,Martin Brest,"63,895,607"
1265,Actor in a Supporting Role,1.0,Gene Hackman,Unforgiven,Unforgiven,1992,A,130 min,"Drama, Western",8.2,85.0,Clint Eastwood,"101,157,447"
1267,Actress in a Supporting Role,1.0,Marisa Tomei,My Cousin Vinny,My Cousin Vinny,1992,UA,120 min,"Comedy, Crime",7.6,68.0,Jonathan Lynn,"52,929,168"
1285,Actor in a Leading Role,1.0,Tom Hanks,Philadelphia,Philadelphia,1993,UA,125 min,Drama,7.7,66.0,Jonathan Demme,"77,324,422"
1286,Actor in a Supporting Role,1.0,Tommy Lee Jones,The Fugitive,The Fugitive,1993,U,130 min,"Action, Crime, Drama",7.8,87.0,Andrew Davis,"183,875,760"
1304,Actor in a Supporting Role,1.0,Martin Landau,Ed Wood,Ed Wood,1994,U,127 min,"Biography, Comedy, Drama",7.8,70.0,Tim Burton,"5,887,457"
1326,Actor in a Supporting Role,1.0,Kevin Spacey,The Usual Suspects,The Usual Suspects,1995,A,106 min,"Crime, Mystery, Thriller",8.5,77.0,Bryan Singer,"23,341,568"
1345,Special Achievement Award,1.0,John Lasseter,Toy Story,Toy Story,1995,U,81 min,"Animation, Adventure, Comedy",8.3,95.0,John Lasseter,"191,796,233"
1346,Actor in a Leading Role,1.0,Geoffrey Rush,Shine,Shine,1996,U,105 min,"Biography, Drama, Music",7.7,87.0,Scott Hicks,"35,811,509"
1348,Actress in a Leading Role,1.0,Frances McDormand,Fargo,Fargo,1996,A,98 min,"Crime, Drama, Thriller",8.1,85.0,Joel Coen,"24,611,975"
1369,Actor in a Leading Role,1.0,Jack Nicholson,As Good as It Gets,As Good as It Gets,1997,A,139 min,"Comedy, Drama, Romance",7.7,67.0,James L. Brooks,"148,478,011"
1370,Actor in a Supporting Role,1.0,Robin Williams,Good Will Hunting,Good Will Hunting,1997,U,126 min,"Drama, Romance",8.3,70.0,Gus Van Sant,"138,433,435"
1371,Actress in a Leading Role,1.0,Helen Hunt,As Good as It Gets,As Good as It Gets,1997,A,139 min,"Comedy, Drama, Romance",7.7,67.0,James L. Brooks,"148,478,011"
1372,Actress in a Supporting Role,1.0,Kim Basinger,L.A. Confidential,L.A. Confidential,1997,A,138 min,"Crime, Drama, Mystery",8.2,90.0,Curtis Hanson,"64,616,940"
1410,Actor in a Leading Role,1.0,Kevin Spacey,American Beauty,American Beauty,1999,UA,122 min,Drama,8.3,84.0,Sam Mendes,"130,096,601"
1431,Actor in a Leading Role,1.0,Russell Crowe,Gladiator,Gladiator,2000,UA,155 min,"Action, Adventure, Drama",8.5,67.0,Ridley Scott,"187,705,427"
1454,Actor in a Leading Role,1.0,Denzel Washington,Training Day,Training Day,2001,A,122 min,"Crime, Drama, Thriller",7.7,69.0,Antoine Fuqua,"76,631,907"
1457,Actress in a Supporting Role,1.0,Jennifer Connelly,A Beautiful Mind,A Beautiful Mind,2001,UA,135 min,"Biography, Drama",8.2,72.0,Ron Howard,"170,742,341"
